id;publication_type;authors;year;title;editors;journal_book_conf;volume;issue;pages;publisher;doi;isbn;citations;notes;peer_reviewed;exclude;study_samples;study_type;study_setting;smarthome;technology;scale_origin;scale_number;scale_number_new;reliability_alpha_studypaper;reliability_alpha_studypaper_new;reliability_composite_studypaper;reliability_other_studypaper;validity_information_studypaper;as_outcome_variable;cause_variables;cause_variables_new;cause_variables_theory;cause_variables_theory_other;cause_variables_theory_certainty;as_cause_variable;outcome_variables;outcome_variables_new;outcome_variables_theory;intervention;intervention_description;intervention_description_new;sample_size;sample_size_new;sample_age;sample_age_new;sample_sex;sample_sex_male;sample_sex_female;sample_sex_nonbinary;sample_sex_noresponse;sample_profession;sample_profession_new;sample_recruitment;sample_country
136;2;Cho et al.;2016;Networked Privacy Management in Facebook: A Mixed-Methods and Multinational Study;NA;19th ACM conference on Computer-Supported Cooperative Work and Social Computing (CSCW);NA;NA;503–514;San Francisco, CA, USA;10.1145/2818048.2819996;NA;34 (google scholar, 26.4.21);"sample from survey; Cronbach's alpha is only reported for the overall sample / no information given for single countries (Singapore, USA)";1;1;B;2;0;0;"not_specified; facebook";1;IB:14 vs NB:8;14;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;privacy management strategies;privacy management strategies;behavior;0;NA;NA;299;299;"Singapore sample (n=153): 37.72 (SD=10.61); US sample (n=146): 44.59 (SD=16.53)";41,0776800000000;"Singapore sample (n = 153): 51%male; 49.0% females + U.S. sample (n = 146): 50% male; 50% female";50,50;49,50;NA;NA;NA;NA;0;"Singapore; USA"
146;0;Chou et al.;2016;An analysis of multiple factors relating to teachers' problematic information security behavior;NA;Computers in Human Behavior;65;NA;334–345;NA;10.1016/j.chb.2016.08.034;NA;41 (google scholar, 12.4.21);sample duplicate of paper ID 147, but 147 focuses on interview study and different model/RQ;1;1;NA;2;3;0;"mobile_device; computer";1;11;116;NA;NA;NA;NA;NA;1;problematic information security behavior;problematic behavior;"persuasion; mastery";NA;0;1;problematic information security behavior;problematic behavior;behavior;0;NA;NA;505;505;M = ~38 (SD = 7.9);38,0000000000000;"33.7% male; 66.3% female";33,70;66,30;NA;NA;teachers;teachers;3;Taiwan
147;0;Chou et al.;2017;The moderating roles of gender and social norms on the relationship between protection motivation and risky online behavior among in-service teachers;NA;Computers & Education;112;NA;83-96;NA;10.1016/j.compedu.2017.05.003;NA;25 ((google scholar, 05.7.21);"reference to Chou et al. (2016; ID=146) for scale origin but they also just used a modified scale; sample duplicate of paper ID 146 (quantitative data used same)";1;1;NA;3;3;0;"not_specified; computer";1;14;66;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;risky online behavior;risky behavior;behavior;0;NA;NA;505;505;median between 36 and 40;38,0000000000000;male 33.7% (170), female 66.3% (335);33,70;66,30;NA;NA;school teachers;teachers;3;Taiwan
148;5;Clark;2013;A study on corporate security awareness and compliance behavior intent;NA;Doctor of Professional Studies in Computing;NA;NA;NA;ProQuest LLC;NA;978-1-303-21835-4;4 (google scholar, 05.7.21);"pre-post campaign survey (post alpha 0.91; post sample size 202)";2;1;NA;1;0;0;"not_specified; workplace_IT";1;15A;67;NA;NA;NA;NA;NA;1;information system security awareness campaign;awareness campaign;persuasion;NA;0;1;intention to comply with security policy;compliance intention;intention;1;"IS security awareness campaign to enhance security compliance knowledge:  effective methods to disseminate compliance information (compliance web portal and newsletters), mechanism for two-way communication between the security team and employees (social networking group among employees, to address issues that may hinder the execution of compliance procedures; pre- and post-campaign survey to evaluate changes; awareness training (security compliance seminars, Q&A sessions each month over 4 months);";awareness campaign to enhance security compliance knowledge: disseminate information, two-way communication, awareness training;246;246;NA;NA;NA;NA;NA;NA;NA;employees of technology company;employees of technology company;2;USA
150;2;Wee et al.;2016;Self-efficacy in cybersecurity tasks and its relationship with cybersecurity competition and work-related outcomes;"Colin Wee, J. M.; Bashir, M.; Memon, N.";2016 USENIX Workshop on Advances in Security Education, ASE 2016, co-located with the 25th USENIX Security Symposium;NA;NA;1–8;Austin, TX, USA;NA;NA;9 (google scholar, 12.4.21);NA;0;1;NA;2;0;0;not_specified;1;12;117;NA;NA;NA;NA;NA;1;"interest in cybersecurity activities; performance and satisfaction within the cybersecurity competition; effectiveness of competitions at recruiting individuals into the cybersecurity workforce; job satisfaction in cybersecurity; perceived fit within cybersecurity organizations";"interest; competition performance and satisfaction; competition effectiveness for recruitment; job satisfaction; organizational fit";"other; mastery; other; other; other";"cognitive; cognitive; cognitive; cognitive";0;1;"interest in cybersecurity activities; performance within the cybersecurity competition; satisfaction within the cybersecurity competition; effectiveness of competitions at recruiting individuals into the cybersecurity workforce; job satisfaction in cybersecurity; perceived fit within cybersecurity organizations";"interest; competition performance and satisfaction; competition effectiveness for recruitment; job satisfaction; organizational fit";"other; behavior; other; other; other";0;NA;NA;195;195;M = 24.28;24,2800000000000;5% female;95,00;5,00;NA;NA;NA;NA;2;USA
155;0;Crossler et al.;2019;Why would I use location-protective settings on my smartphone? Motivating protective behaviors and the existence of the privacy knowledge–belief gap;NA;Information Systems Research;30;3;995-1006;NA;10.1287/isre.2019.0846;NA;25 (google scholar, 05.7.21);items from supplementary material;1;1;NA;2;0;0;smartphone;1;16;68;NA;NA;NA;NA;NA;1;"privacy risk awareness; privacy knowledge; sharing preferences; subjective norm";"awareness; knowledge; sharing; norms";"other; other; mastery; vicarious experience, persuasion";"cognitive; cognitive";1;1;privacy behavior;privacy behavior;behavior;0;NA;NA;334;334;"0.6% 18-20; 9.9% 21-24; 37.5% 25-34; 27.9% 35-44; 15.3% 45-54; 6.9% 55-64; 2.1% 65-74; 0.0% 75-84";56,4550000000000;"32.3% male; 67.7% female";32,30;57,70;NA;NA;NA;NA;0;USA
157;0;Cuganesan et al.;2018;How senior management and workplace norms influence information security attitudes and self-efficacy;NA;Behaviour and Information Technology;37;1;1–16;NA;10.1080/0144929x.2017.1397193;NA;27 (google scholar, 26.4.21);NA;1;1;NA;2;0;0;not_specified;1;IB:15 vs NB:10;15;NA;NA;NA;NA;NA;1;"norms about information security; specification of information security policies and procedures (formal control); monitoring and evaluation (formal control); provision of rewards (formal control); imposition of sanctions (formal control)";"norms; information security policy; monitoring and evaluation; rewards; sanctions";"persuasion; persuasion; persuasion; persuasion; persuasion";NA;0;0;NA;NA;NA;0;NA;NA;338;338;"<=25: 2.7%; 26–30: 8.6%; 31–35: 17.2%; 36–40: 11.2%; 41–45: 21.6%; 46–50: 16.3%; 51–55: 15.4%; >=56: 7.1%";42,3125000000000;"69.8% male; 30.2% female";69,80;30,20;NA;NA;law enforcement agency employees;law enforcement agency employees;2;Australia
162;0;Dang-Pham et al.;2015;Comparing intention to avoid malware across contexts in a BYOD-enabled Australian university: A Protection Motivation Theory approach;NA;Computers & Security;48;NA;281-297;NA;10.1016/j.cose.2014.11.002;NA;130 (google scholar, 8.6.21);NA;1;1;NA;2;3;0;mobile_device;1;IB:16 vs NB:;16;NA;NA;NA;NA;NA;1;response efficacy;response efficacy;other;cognitive;0;1;"response cost; intention to perform malware avoidance behaviors";"response cost; avoidance intention";"other; intention";0;NA;NA;252;252;"18-19: 31.7%; 20-21: 31.3%; 22-23: 14.7%; 24-25: 9.1%; 26-30: 8.3%; > 30: 4.8%";22,3020000000000;"128 male; 124 female";50,79;49,21;NA;NA;students;students;3;Australia
164;5;Day;2018;Modeling the influence of personal characteristics on information security policy compliance in US-based financial, medical, and information services industries;NA;Doctor of Philosophy;NA;NA;NA;ProQuest LLC;NA;978-0355782608;1 (google scholar, 12.4.21);original scale Bulgurcu et al. (2010);2;1;NA;2;0;0;"computer; workplace_IT";0;IB:17 vs NB:20;17;0.923;0.923;0.951;NA;"content validity: Field testing of the instrument prior to its use in the present study was not required due to the instrument’s established validity;
convergent validity: AVE >0.5 and
discriminant validity: Fornell-Lacker: attitude; information security awareness; intention to comply; normative beliefs;
reference to results of original scale development by Bulgurcu et al. (2010): convergent validity (loadings >0.7; AVE >0.5) and factor validity (CFA, unidimensional constructs)";0;NA;NA;NA;NA;NA;1;intention to comply with information security policies;compliance intention;intention;0;NA;NA;250;250;"38.84 (SD = 0.712); median 37.5; range 18-63";38,8400000000000;"54.8% male; 45.2% female";54,80;45,20;NA;NA;employees;employees;0;USA
166;5;Devgan;2012;Satisfactions, self-efficacy, and compliance in mandatory technology settings;NA;Doctor of Philosophy in Business Administration;NA;NA;NA;ProQuest LLC;NA;978-1-267-68085-3;1 (google scholar, 12.4.21);NA;2;1;NA;2;1;0;"not_specified; workplace_IT";1;13;12B;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;technology compliance intentions;compliance intention;intention;0;NA;NA;189;189;"M = 34; <20: 2; 20-30: 75; 31-40: 66; 41-50: 32; 51-60: 14; >60: 0";34,0000000000000;70.9% male, 29.1% female;70,90;29,10;NA;NA;bank managers and tellers;"bank managers; bank tellers";1;India
173;0;Donalds et al.;2020;Cybersecurity compliance behavior: Exploring the influences of individual decision style and other antecedents;NA;International Journal of Information Management;51;NA;102056;NA;10.1016/j.ijinfomgt.2019.102056;NA;11 (google scholar, 12.4.21);NA;1;1;NA;2;0;0;not_specified;1;IB:18 vs NB:22;18;NA;NA;NA;NA;NA;1;dominant orientation;dominant orientation;other;cognitive;0;1;"password compliance behavior; general security compliance behavior";NA;NA;0;NA;NA;248;248;"18-21: 41.5%; 22-35: 29.8%; 36-45: 17.7%; 46-55: 10.9%";21,2935000000000;"32.3% male; 67.7% female";32,30;67,70;NA;NA;NA;NA;3;Jamaica
174;5;Dorsey-Lockett;2014;Examining the correlation between organizational security climate and demographic variables and the self-efficacy of information security of local government employees: A quantitative study;NA;Doctor of Philosophy;NA;NA;NA;ProQuest LLC;NA;NA;2 (google scholar, 8.6.21);"original scale Chan et al. (2005); reliability only for pilot N = 30";2;1;NA;2;0;0;"not_specified; workplace_IT";0;IB:19 vs NB:Chan et al. (2005);19;0.939;0.939;NA;NA;"internal validity; external validiy: web-based nature of the study";1;"organizational security climate; age; gender; education";"organizational climate; age; gender; education";"persuasion, vicarious experience; other; other; other";"demographics; demographics; demographics";0;0;NA;NA;NA;0;NA;NA;134;134;"18-29: 6%; 30-44: 23.9%; 45-60: 43.3%; >60: 26.9%";50,4705000000000;"57.5% male; 42.5% female";57,50;42,50;NA;NA;local government employees;government employees;0;USA
178;2;Dupuis;2019;Going Back for that One Last Thing in the House on Fire: How Fear, Attentiveness, Sadness, Joviality, and Other Lower Order Dimensions of Affect Influence Our Security and Privacy Behavior;NA;2019 IEEE SmartWorld 2019;NA;NA;1825–1833;Leicester, UK;10.1109/smartworld-uic-atc-scalcom-iop-sci.2019.00322;NA;0 (IEEExplore, 12.4.21);NA;1;1;NA;2;0;0;not_specified;1;14;118;NA;NA;NA;NA;NA;1;"trait negative affect (fear, hostility, guilt, sadness); trait positive affect (joviality, self-assurance, attentiveness); affects (shyness, fatigue, serenity, surprise)";"negative emotions; positive emotions; shyness; fatigue; serenity; surprise";"emotional arousal; emotional arousal; emotional arousal; emotional arousal; emotional arousal; emotional arousal";NA;0;1;personal information compromise;information security problem;other;0;NA;NA;556;556;participants were generally younger;NA;more females that participated than males, but not by much;NA;NA;NA;NA;NA;NA;0;USA
180;5;Dupuis;2014;The role of trait affect in the information security behavior of home users;NA;Doctor of Philosophy;NA;NA;NA;ProQuest LLC;NA;NA;3 (google scholar, 9.6.21);threat: performance compromise;2;1;A;2;0;0;"not_specified; computer";1;15;119A;NA;NA;NA;NA;NA;1;"trait positive affect; trait negative affect";"negative emotions; positive emotions";"emotional arousal; emotional arousal";NA;0;1;information security behavior;security behavior;behavior;0;NA;NA;353;353;"18-29: 47.9%; 30-39: 28.6%; 40-49: 12.5%; 50-59: 6.5%; 60+: 4.5%";37,0478125000000;"56.7% male; 43.1% female";56,70;43,10;NA;NA;NA;NA;0;USA
180;5;Dupuis;2014;The role of trait affect in the information security behavior of home users;NA;Doctor of Philosophy;NA;NA;NA;ProQuest LLC;NA;NA;3 (google scholar, 9.6.21);threat: information compromise;2;1;B;2;0;0;"not_specified; computer";1;16;119B;NA;NA;NA;NA;NA;1;"trait positive affect; trait negative affect";"negative emotions; positive emotions";"emotional arousal; emotional arousal";NA;0;1;information security behavior;security behavior;behavior;0;NA;NA;329;329;"18-29: 48.9%; 30-39: 28%; 40-49: 12.2%; 50-59: 6.7%; 60+: 3%";33,7009250000000;"52.9% male; 45.6% female";52,90;45,60;NA;NA;NA;NA;0;USA
180;5;Dupuis;2014;The role of trait affect in the information security behavior of home users;NA;Doctor of Philosophy;NA;NA;NA;ProQuest LLC;NA;NA;3 (google scholar, 9.6.21);threat: loss of data and files;2;1;C;2;0;0;"not_specified; computer";1;17;119C;NA;NA;NA;NA;NA;1;"trait positive affect; trait negative affect";"negative emotions; positive emotions";"emotional arousal; emotional arousal";NA;0;1;information security behavior;security behavior;behavior;0;NA;NA;326;326;"18-29: 44.5%; 30-39: 27.3%; 40-49: 13.5%; 50-59: 10.4%; 60+: 4%";40,6203000000000;"55.2% male; 44.2% female";55,20;44,20;NA;NA;NA;NA;0;USA
183;0;Dzidzah et al.;2020;Security behaviour of mobile financial service users;NA;Information and Computer Security;28;5;719-741;Emerald;10.1108/ics-02-2020-0021;NA;0 (google scholar, 05.7.21);scales described as self-efficacy subscales (Mastery experience/vicarious experience/emotional state/verbal persuasion);1;1;NA;2;1;0;"not_specified; mobile_banking";1;17;69;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;avoidance motivation;avoidance motivation;motivation;0;NA;NA;530;530;NA;NA;NA;NA;NA;NA;NA;students;students;2;Ghana
188;0;Elhai et al.;2017;Anxiety about electronic data hacking: Predictors and relations with digital privacy protection behavior;NA;Internet Research;27;3;631-649;Emerald;10.1108/IntR-03-2016-0070;NA;19 (google scholar, 05.7.21);NA;1;1;NA;2;0;0;not_specified;1;18;70;NA;NA;NA;NA;NA;1;"victim of hacking; news exposure about data breaches";"experience; news exposure";"mastery; persuasion, vicarious experience";NA;0;1;"perceived importance of online privacy; digital privacy protection behavior";"perceived importance; protection behavior";"other; behavior";0;NA;NA;304;304;M = 33.05 (SD = 9.91);33,0500000000000;male 60.2% (183);60,20;39,80;NA;NA;NA;NA;0;USA
193;5;Ezuma-Ngwu;2019;Exploring individual intent towards blockchain technology in response to threats to personal data and privacy;NA;Doctor of Philosophy;NA;NA;NA;ProQuest LLC;NA;978-1085668866;0 (google scholar, 12.4.21);NA;2;1;NA;2;0;0;NA;1;18;120;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;intent to place personal data in a blockchain application;security intention;intention;0;NA;NA;187;187;"18-34: 56%; 35-50: 31%; 51-65: 9.1%; >65: 6%";37,0630000000000;"63% male; 36% female";63,00;36,00;NA;NA;NA;NA;0;USA
200;2;Farooq et al.;2019;Predicting Students’ Security Behavior Using Information-Motivation-Behavioral Skills Model;Dhillon et al.;ICT Systems Security and Privacy Protection;NA;NA;238-252;Lisbon, Portugal;10.1007/978-3-030-22312-0_17;NA;7 (google scholar, 05.7.21);items from supplementary material;0;1;NA;2;0;0;not_specified;1;19;71B;NA;NA;NA;NA;NA;1;"information (threat awareness); personal motivation (security attitude); social motivation (social support)";"awareness; attitude; support";"other; other; persuasion";"cognitive; cognitive";0;1;security behavior;security behavior;behavior;0;NA;NA;159;159;"M = 24 (SD=6.94); range 18-63";24,0000000000000;65% male;65,00;35,00;NA;NA;students;students;2;Finland
201;2;Fatokun et al.;2019;The Impact of Age, Gender, and Educational level on the Cybersecurity Behaviors of Tertiary Institution Students: An Empirical investigation on Malaysian Universities;NA;Journal of Physics: Conference Series (JPCS);NA;1;12098;Padang, Indonesia;10.1088/1742-6596/1339/1/012098;NA;9 (google scholar, 05.7.21);NA;0;1;NA;2;0;0;not_specified;1;20;72;NA;NA;NA;NA;NA;1;gender;gender;other;demographics;0;1;cyber security behavior;security behavior;behavior;0;NA;NA;336;336;below 30: 220 (65.5%), over 30: 116 (34.5%);31,2450000000000;male 150 (44.6%), female 186 (55.4%);44,60;55,40;NA;NA;students;students;2;Malaysia
210;5;Gagne;2020;Motivational factors that cause employees to bypass security: A correlational study;NA;Doctor of Philosophy;NA;NA;NA;ProQuest LLC;NA;979-8662586178;0 (google scholar, 26.4.21);"original scale Workman et al. (2008); validity and reliability measures based on Workman et al. (2008) findings; no own stats included";2;1;NA;2;0;0;"not_specified; workplace_IT";0;IB:20 vs NB:13;20;>0.65;NA;NA;NA;discriminant validity: statistical correlations of less than .60 are indications that the elements in the variables do not correlate with each other and, as a result, are not redundant. This correlation ensured that discriminant validity existed between the variables;0;NA;NA;NA;NA;NA;1;decision to deviate from information security policy;policy deviation decision;other;0;NA;NA;133;133;"n=145: 25-29: 31.03%; 30-44: 54.48%; 45-60: 11.72%; > 60: 2.76%";36,4827000000000;"n=145: 81.38% male; 18.62% female";81,38;18,62;NA;NA;information security professionals;IS professionals;0;USA
214;0;Geil et al.;2018;Cyber security on the farm: an assessment of cyber security practices in the United States agriculture industry;NA;International Food and Agribusiness Management Review;21;3;317-334;NA;10.22434/IFAMR2017.0045;NA;10 (google scholar, 8.6.21);NA;1;1;NA;2;3;0;"not_specified; computer";1;IB:21 vs NB:;21;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;cyber security behavior (usage);security behavior;behavior;0;NA;NA;138;138;"18-20: 1.4%; 21-30: 3.6%; 31-40: 13%; 41-50: 28.3%; 51-60: 29.7%; 61-70: 15.9%; 71-80: 8%";51,6135000000000;"85.5% male; 14.5% female";85,50;14,50;NA;NA;people in agriculture (individuals who have participated in a USDA Farm Service Agency (FSA) program);participants in a USDA Farm Service Agency program;2;USA
216;0;Ghazi-Asgar et al.;2018;Health Information Management: Psychological factors influencing information privacy concerns in psychiatric hospitals;NA;Bali Medical Journal;7;1;120–126;NA;10.15562/bmj.v7i1.793;NA;6 (google scholar, 26.4.21);NA;1;1;NA;2;1;0;not_specified;1;IB:22 vs NB:14;22;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;privacy concern;concerns;other;0;NA;NA;384;384;NA;NA;NA;NA;NA;NA;NA;psychiatric patients;psychiatric patients;2;Iran
219;0;Gillam et al.;2020;Factors affecting risky cybersecurity behaviors by U.S. workers: An exploratory study;NA;Computers in Human Behavior;108;NA;106319;NA;10.1016/j.chb.2020.106319;NA;5 (google scholar, 12.4.21);NA;1;1;NA;2;0;0;"not_specified; workplace_IT";0;IB:23 vs NB:25;23;NA;NA;NA;NA;overall, the findings cannot be considered externally valid;0;NA;NA;NA;NA;NA;1;"avoidance motivation; risky cybersecurity behavior";"avoidance motivation; risky behavior";"motivation; behavior";0;NA;NA;184;184;>=50: 50%;55,0000000000000;"43% male; 57% female";43,00;57,00;NA;NA;employees;employees;1;USA
220;0;Giwah et al.;2020;Empirical assessment of mobile device users’ information security behavior towards data breach;NA;Journal of Intellectual Capital;21;2;215-233;NA;10.1108/JIC-03-2019-0063;NA;5 (google scholar, 8.6.21);NA;1;1;NA;2;0;0;mobile_device;1;IB:24 vs NB:;24;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;protection motivation;protection motivation;motivation;0;NA;NA;390;390;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;USA
233;2;Halevi et al.;2015;Investigating Users' Readiness to Trade-off Biometric Fingerprint Data;NA;2015 IEEE International Conference on Identity, Security and Behavior    Analysis (Isba);NA;NA;1–8;Hong-Kong, China;10.1109/ISBA.2015.7126366;NA;7 (google scholar, 12.4.21);NA;1;1;NA;0;3;0;not_specified;1;IB:25 vs NB:26;25;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;willingness to share (trade-off fingerprint information);sharing willingness;intention;0;NA;NA;100;100;"IB:24% <24; 22% 25-34; 5% >44 vs NB:73% of the participants were under 24 years old, 22% were between 25 and 34 years old, and the rest (5%) were over 44 years old";24,4200000000000;"76% male; 24% female";76,00;24,00;NA;NA;NA;NA;2;USA
234;2;Halevi et al.;2016;Cultural and Psychological Factors in Cyber-Security;NA;iiWAS: Information Integration and Web-based Applications & Services '16;NA;NA;318–324;Singapore, Singapore;10.1145/3011141.3011165;NA;29 (google scholar, 05.7.21);additional information in supplemental online material;1;1;NA;2;0;0;not_specified;1;21;73;NA;NA;NA;NA;NA;1;"personality traits (neuroticism, extroversion, openness, agreeableness, conscientiousness); gender; culture; risk perception; computer expertise";"neuroticism; extroversion; openness; agreeableness; conscientiousness; gender; culture; perceived risk; expertise";"other; other; other; other; other; other; other; other; mastery";"cognitive; cognitive; cognitive; cognitive; cognitive; demographics; demographics; cognitive";0;0;NA;NA;NA;0;NA;NA;"USA: 154; India: 97; UAE: 325; Ghana: 42";618;NA;NA;"USA: 111 men, 43 women; UAE: 241 men, 84 women; India: 70 men, 28 women; Ghana: 36 men, 6 women";74,11;26,05;NA;NA;NA;NA;NA;"USA; India; UAE; Ghana"
236;0;Ham;2017;Exploring how consumers cope with online behavioral advertising;NA;International Journal of Advertising;36;4;632-658;NA;10.1080/02650487.2016.1239878;NA;62 (google scholar, 9.6.21);NA;1;1;NA;2;0;0;not_specified;1;19;121;NA;NA;NA;NA;NA;1;persuasion knowledge;knowledge;other;cognitive;0;1;protection motivation (privacy concern);concerns;other;0;NA;NA;422;422;range: 18-32, M = 20.69 (SD = 1.70);20,6900000000000;"33.4% male; 66.6% female";22,40;66,60;NA;NA;students;students;2;USA
242;0;Hanus et al.;2016;Impact of Users’ Security Awareness on Desktop Security Behavior: A Protection Motivation Theory Perspective;NA;Information Systems Management;33;1;2-16.;Taylor & Francis;10.1080/10580530.2015.1117842;NA;129 (google scholar, 05.7.21);NA;1;1;NA;2;NA;0;computer;1;22;74;NA;NA;NA;NA;NA;1;countermeasure awareness (knowledge);awareness;other;cognitive;0;1;desktop security behavior;security behavior;behavior;0;NA;NA;241;241;NA;NA;140 males, 89 females;58,09;36,93;NA;NA;students;students;2;USA
248;0;He et al.;2020;Improving employees’ intellectual capacity for cybersecurity through evidence-based malware training;NA;Journal of Intellectual Capital;21;2;203-213;NA;10.1108/JIC-05-2019-0112;NA;3 (google scholar, 9.6.21);NA;1;1;NA;0;NA;0;"not_specified; computer; workplace_IT";1;20;122;NA;NA;NA;NA;NA;1;cybersecurity training method (video training [sensory and active role] vs. malware report training);learner engagement;other;cognitive;0;0;NA;NA;NA;1;"To help employees improve their cybersecurity-related knowledge and self-efficacy in dealing with malware attacks that are relevant to their organizations, we developed over 30 e-learning malware videos and reports based on the essential types of malware attacks we captured; introduce what the malware is, how it affects the computer or the network, how it is transmitted, what the consequence is, how to remove the malware and how to prevent it";training to adjust risk perception and increase security behavior:  informative reports about malware attacks vs. e-learning malware videos vs. both vs. no intervention;119;119;"<=20: 3.4%; 21-39: 63%; > 40: 33.6%";36,3460000000000;"40.3% male; 59.7% female";40,30;59,70;NA;NA;employees at state university;university staff;2;USA
253;0;Hewitt et al.;2017;Mobile Device Security: Perspectives of Future Healthcare Workers;NA;Perspectives in Health Informatioan Management;14;Winter;NA;NA;NA;NA;18 (google scholar, 05.7.21);NA;1;1;NA;2;3;0;mobile_device;1;23;75;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;avoidance motivation;avoidance motivation;motivation;0;NA;NA;335;335;18-19: 28% (94), 20-29: 66% (222), 30-39: 4% (13) 40-49: 1% (4), 50-59: 1% (2), range: 18-59;23,6283582089552;25% (84) male, 75% (251) female;25,00;75,00;NA;NA;students;students;2;USA
254;0;Hichang;2010;Determinants of Behavioral Responses to Online Privacy: The Effects of Concern, Risk Beliefs, Self-Efficacy, and Communication Sources on Self-Protection Strategies;NA;Journal of Information Privacy and Security;6;1;3-27;NA;10.1080/15536548.2010.10855879;NA;26 (google scholar, 8.6.21);NA;1;1;NA;2;2;0;not_specified;1;IB:26 vs NB:;26;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;protection action;protection behavior;behavior;0;NA;NA;836;836;"20-24: 25. I%; was the leading age group";22,0000000000000;"49.2% male; 49.4% female";49,20;49,40;NA;NA;NA;NA;1;Singapore
262;0;Shin et al.;2018;A study on personal information protection behavior in easy payment service: focused on protection motivation theory;NA;International Journal of Engineering and Technology;7;2.12;132-135;NA;10.14419/ijet.v7i2.12.11108;NA;NA;"author's name: Shin, Jae-Hoon; no citation found";1;1;NA;2;0;0;not_specified;1;21;123;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;privacy behavior;privacy behavior;behavior;0;NA;NA;126;126;"19-23: 48; 24-29: 71; 30-34: 5; rest: 2";24,8214285714286;"79 male; 47 female";62,70;37,30;NA;NA;NA;NA;1;NA
263;0;Hooper et al.;2020;Factors influencing the information security behaviour of IT employees;NA;Behaviour and Information Technology;39;8;1–13;NA;10.1080/0144929x.2019.1623322;NA;3 (google scholar, 12.4.21);NA;1;1;NA;2;0;0;"not_specified; workplace_IT";1;IB:27 vs NB:31;27;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;intention to practice information security;security intention;intention;0;NA;NA;70;70;NA;NA;NA;NA;NA;NA;NA;IT employees;IT professionals;1;NA
269;0;Hui et al.;2020;User privacy protection behavior and information sharing in mobile health application;NA;International Journal of Advanced Trends in Computer Science and Engineering;9;4;5250–5258;NA;10.30534/ijatcse/2020/155942020;NA;0 (google scholar,  05.7.21);NA;1;1;NA;2;NA;0;"not_specified; mobile_device";1;24;76;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;unwillingness in information sharing in mobile health;sharing willingness;intention;0;NA;NA;200;200;NA;NA;60% male, 50% female;60,00;50,00;NA;NA;NA;NA;NA;Malaysia
270;0;Humaidi et al.;2018;Indirect effect of management support on users’ compliance behaviour towards information security policies;NA;Health Information Management Journal;47;1;17–27;NA;10.1177/1833358317700255;NA;23 (google scholar, 26.4.21);sample duplicate of paper ID 441, but different research model;1;1;NA;2;1;0;"not_specified; health_information_system";1;IB:28 vs NB:17;28;NA;NA;NA;NA;NA;1;management support;support;persuasion;NA;0;1;user's compliance behavior;compliance behavior;behavior;0;NA;NA;454;454;"<=40: 86.7%; >40: 13.2%";31,7430000000000;"21.4% male; 78.6% female";21,40;78,60;NA;NA;healthcare professionals;healthcare professionals;2;Malaysia
274;0;Ifinedo;2012;Understanding information systems security policy compliance: An integration of the theory of planned behavior and the protection motivation theory;NA;Computers & Security;31;1;83-95;Elsevier;10.1016/j.cose.2011.10.007;NA;805 (google scholar, 05.7.21);NA;1;1;NA;2;3;0;"not_specified; computer; workplace_IT";1;25;77;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;information systems security policy compliance behavioral intention;compliance intention;intention;0;NA;NA;124;124;"21-30 years: 24 (19.4%)
31-40 years: 28 (22.6%)
41-50 years: 34 (27.4%)
50-60 years: 30 (24.2%)
61 years and above: 8 (6.5%)";42,9274193548387;male 58.9% (73), female 41.1% (51);58,90;41,10;NA;NA;business managers and IS professionals;"business managers; IS professionals";3;Canada
279;2;Ismail et al.;2017;Security Strategies for Hindering Watering Hole Cyber Crime Attack;NA;4th Information Systems International Conference;NA;NA;656–663;Bali, Indonesia;10.1016/j.procs.2017.12.202;NA;10 (google scholar, 8.6.21);NA;1;1;NA;2;NA;0;mobile_device;1;IB:29 vs NB:;29;NA;NA;NA;NA;NA;1;"avoidance behavior; protection behavior";"avoidance behavior; protection behavior";"mastery; mastery";NA;0;1;intention and behavior to use own device;"use intention; use behavior";"intention; behavior";0;NA;NA;107;107;22-23: 46.72%;22,5000000000000;n = 64 female;40,19;59,81;NA;NA;students;students;NA;Malaysia
