authors;publication_year;item_list;referenced_scale_authors;scale_name
Manzano;2012;"I could successfully install and use anti-malware software if…
1. …There was no one around to tell me what to do.
2. …I had never used a package like it before.
3. …I had only the software manuals for reference.
4. …I had seen someone else doing it before trying it myself.
5. …I could call someone for help if I got stuck.
6. …Someone else helped me get started.
7. …I had a lot of time to complete the job.
8. …I had just the built-in help facility for assistance.
9. …Someone showed me how to do it first.
10. …I had used similar packages like this one before to do the job.";"Liang et al. (2010); Compeau et al. (1995)";Self-Efficacy
Masrek et al.;2017;NA;NA;Self-Efficacy
Mitchell;2020;"1. I feel comfortable taking measures to protect my home network: disagree…agree.
2. I have the resources and the knowledge to protect my home network: disagree…agree.
3. Protecting my home network is: hard…easy.
4. I feel nervous when I think about online security issues: agree…disagree
5. I have the skills to implement preventative measures to keep stop people damaging my home network: disagree…agree.
6. My skills to stop information security violations on my home network are: inadequate…adequate";"Tsai et al. (2016); Workman et al. (2008)";Self-Efficacy
Mohamed et al.;2012;"1. I believe I have the ability to protect my personal information in social networking sites. 
2. It is easy for me to enable privacy measure features on social networking sites by myself.";"Woon et al. (2005); Crossler (2010); LaRose et al. (2007)";Self-Efficacy
Mousavizadeh et al.;2015;"1. It is easy for me to use privacy assurance mechanisms on this SNS.
2. It is convenient for me to use privacy assurance mechanisms.
3. I am able to use privacy assurance mechanisms without much effort.";"Johnston et al. (2010); Compeau et al. (1995)";Self-Efficacy
Ophoff et al.;2019;"1. Anti-malware software is easy to use 
2. Anti-malware software is convenient to use 
3. I am able to use anti-malware software without much effort";Boss et al. (2015);Self-Efficacy
Poleon;2020;"1. I feel comfortable protecting my personal computer from Internet malware threats (installing antivirus software, creating separate user accounts, not giving anyone my passwords, or free access to my computer, etc...)
2. I am capable of removing viruses and other malware from my computer.
3. Jason know the three P’s of Internet Security,
1)Practices: don’t trust suspicious emails or suspicious links 
2)Patches: ensure that antivirus software is up to date and apply malware updates when necessary, and
3)Password: ensure that you have a strong password is the first line of defense to data protection.
Jason is browsing websites and the antivirus program on his computer alerts him that a virus has been install [on his computer]. Jason decides to take care of the virus problem later. I could easily do the opposite of what Jason did without thinking about it.";Vance et al. (2012);Self-Efficacy
Raddatz et al.;2020;NA;Anderson et al. (2010);Self-Efficacy
Sarathchandra et al.;2016;"1. On a day-to-day basis, I do enough to protect my online security and privacy. 
2. I trust ‘big name’/reputable websites such as Amazon and eBay. 
3. I have full control over what types of personal information I share online.";NA;Self-Efficacy
Sedek et al.;2018;NA;NA;Self-Efficacy
Sher et al.;2017;"1. I would feel comfortable following most of the EMR privacy policy my own.
2. If I wanted to, I could easily follow EMR privacy policy on my own.
3. I would be able to follow most of the EMR privacy policy even if there was no one around to help me.";Herath et al. (2009);Self-Efficacy
Sher et al.;2017;"1. I am confident that I can comply with the privacy policy
2. I am confident that I can recognise the potential problems of violating EMR privacy
3. I am confident that I can comply with the privacy policy even if there is no one around to help me";Ng et al. (2009);Self-Efficacy
Shin et al.;2018;NA;NA;Self-Efficacy
Siponen et al.;2014;"1. I can use information security measures if I can call for help if I get stuck.
2. I can use information security measures if someone tells me what to do as I go along.";NA;Self-Efficacy
Suhaimi et al.;2020;NA;NA;Self-Efficacy
Tang et al.;2021;"1. Taking the necessary security measures against COVID-19 scams is easy for me.
2. I feel comfortable taking the necessary security measures against COVID-19 scams.
3. I can take the necessary security measures against COVID-19 scams without much effort.";"Anderson et al. (2010); Martens et al. (2019)";Self-Efficacy
Venard;2019;75 [interview] questions covered the key topics of the inquiry: description of the respondents, the use of internet and devices (computer / mobile / others), perception of cybercrimes, experiences of cybercrimes, reflection on the means used to protect oneself;NA;Self-Efficacy
Verkijika;2018;"1. I feel comfortable taking measures to secure my smartphone
2. I have the resources and the knowledge to take the necessary security measures on my smartphone
3. Taking the necessary security measures on my smartphone is easy
4. I can enable security measures on my smartphone by myself";"Anderson et al. (2010); Thompson et al. (2017)";Self-Efficacy
Wall et al.;2013;"1. I believe that complying with my organization's information security policy will be ease to do?
2. I am able to comply with my organization's information security policy without much effort?";Johnston et al. (2010);Self-Efficacy
Wang et al.;2014;"1. I am confident of my skill to handle online purchasing security issues. 
2. I am confident of handling online purchasing security issues even if there is no one around to show me how to do it. 
3. I am confident of handling online purchasing security issues even if I have never used security issues before. 
4. I am confident of handling online purchasing security issues after observing someone else deal with similar issues.";Lai et al. (2012);Self-Efficacy
Wohn et al.;2015;Scale asking users how confident they felt (on a seven-point Likert-type scale) in doing privacy protection-related activities. These activities included protecting privacy online, controlling who has access to their information, changing security settings of their browser, and requesting a site not to track behavior.;NA;Self-Efficacy
Yang et al.;2016;"1. It’s easy for me to take security measures on healthcare information. 
2. I know how to make security measures on healthcare information. 
3. I have enough capability to prevent security threat on healthcare information.";NA;Self-Efficacy
Yoo et al.;2018;"1. I have the necessary skills for good security compliance in the organization. 
2. I have the necessary knowledge for good security compliance in the organization. 
3. I have the necessary competencies for good security compliance in the organization.";Bulgurcu et al. (2010);Self-Efficacy
Yoon et al.;2012;"1. I am able to protect my personal information from external threats.
2. I am able to protect the data on my computer from being damaged by external threats.
3. I am capable of responding to malicious software such as viruses.";Ng et al. (2009);Self-Efficacy
Yoon et al.;2013;"1. I am able to protect my personal information from external threats.
2. I am able to protect the data on my computer from others.
3. I am able to protect the data on my computer from being damaged by external threats.";"Ng et al. (2009); Workman et al. (2008); Woon et al. (2005)";Self-Efficacy
Zarouali et al.;2018;Example item: I am confident in my ability to use the privacy settings for targeted ads;Meuter et al. (2005);Self-Efficacy
Zhang et al.;2018;"1. Protecting my information privacy is easy for me.
2. I have the capability to protect my information privacy.
3. I am able to protect my information privacy without much effort.";"Johnston et al. (2015); Sun et al. (2013)";Self-Efficacy
Zhen et al.;2020;"1. I have the necessary skills to avoid ISP violations.
2. I have the expertise to implement preventative measures against information security threats.
3. I can enable security measures on my work computer or system independently.";"Ifinedo (2014); Johnston et al. (2015)";Self-Efficacy
Zhu et al.;2018;NA;NA;Self-Efficacy
Blythe et al.;2018;Example: I feel confident in my ability to <security behaviour> (anti-malware software);Milne et al. (2002);Self-Efficacy (anti-malware software)
Beldad;2016;"1. I know how to protect my personal information on Facebook.
2. I feel competent in using Facebook’s privacy settings to limit other people’s access to my personal information.
3. Using Facebook’s privacy settings is not complicated.
4. I learn how to use Facebook’s privacy settings without so much time and effort.";"Bandura (1977); Venkatesh (2000)";Self-Efficacy (Ease of Use)
Blythe et al.;2018;Example: I feel confident in my ability to <security behaviour> (email security);Milne et al. (2002);Self-Efficacy (email security)
Halevi et al.;2016;"Please rate on a scale from 0 100 on how certain you would be in dealing with the following Internet Security issues on your own without the help from anyone else.
Response Range: 0 (Cannot do at all) to 100 (Highly likely)
1. Viruses
2. Trojan Horses
3. Worms
4. Phishing
5. Spyware
6. Unsecured Wireless Access
7. Point
8. Social Engineering
9. Database attacks (SQL Injection)
10. Spoofing
11. Malware
12. Rootkits
13. DoS (Denial of Service)
14. Man-in-the middle attacks
15. Internet hoax 
16. Internet rumor
17. Fraudulent request for money
18. Unwanted pictures of you on the internet";NA;Self-Efficacy (Security-Related Confidence)
Blythe et al.;2018;Example: I feel confident in my ability to <security behaviour> (software update);Milne et al. (2002);Self-Efficacy (software update)
Cavus et al.;2016;"Factor I: Security on social networking sites: 
23. To be able to prevent harmful software from infecting your computer. 
24. To be able to protect my password from key loggers 
22. To be able to clean my computer when it has been infected with viruses. 
20. To be able to prevent viruses from entering my computer. 
25. To be able to take the necessary precautions to prevent Trojan horses from entering my computer. 
19. To be able to protect my computer from worms. 
16. To be able to protect myself from spyware software. 
14. To be able to create a very secure password. 
27. To be able to use Microsoft Security Essentials. 
Factor II: Malicious software: 
29. To be able to do shopping in a secure way via Internet. 
32. To be able to take the necessary security precautions against spam e-mails. 
49. To be able to protect myself from built-in camera pens and glasses from social engineering attacks. 
46. To be able to protect myself from social engineering attacks via e-mails. 
30. To be able to use the necessary precautions while using interactive banking on the Internet. 
15. To be able to take the necessary precautions against hoax e-mails. 
33. To be able to protect myself from phishing e-mails. 
10. To be able to show the difference between HTTP and HTTPS. 
Factor III: Web security & social engineering: 
3. To be able to protect my personal files. 
1. To be able to take the necessary security measures for logging on to my computer. 
2. To be able to add a password to my operating Windows system. 
5. To be able to update my security files.
4. To be able to add a password to my files. 
6. To be able to create backup files in case of problems. 
Factor IV: Computer security: 
36. To be able to hide the information that I share on social networking sites from people.
38. To be able to block requests from people I don’t know/want on social networking sites.
42. To be able to hide my profile information from people I don’t want on social networking sites.
35. To be able to protect personal information I share with people on social networking sites.
37. To be able to contact the necessary people if my password is taken by someone on social networking sites.
44. To be able to share videos and photos on social networking sites that will not harm my reputation.
45. To be able to share information about others on social networking sites that will not harm their reputation.
34. To be able to use social networking sites like Facebook and Twitter in a safe way.
39. To be able to protect myself from infected videos on social networking sites.
40. To be able to take necessary safety precautions against security breaches on social networking sites.
41. To be able to prevent theft of personal photo albums on social networking sites. 
43. To be able to create a secure password on social networking sites.";NA;Self-Efficacy and Perceptions in the Safe Use of the Internet for Teachers
Kropczynski et al.;2020;"1. I know that if I worked hard to learn about online privacy and security, I could make good decisions. 
2. Online privacy and security decision-making is not too complicated for me to understand. 
3. I think I am the kind of person who would learn to use best practices for good online privacy and security decision-making. 
4. I think I am capable of learning to help others make good online privacy and security decisions. 
5. Given a little time and training, I know I could learn about best practices for good online privacy and security decision-making for myself and my community.";Bandura (1982);Self-Efficacy for Privacy and Security
Zahedi et al.;2011;NA;NA;Self-efficacy in Dealing with Threat
Ayaburi et al.;2019;"1. I feel confident detecting viruses on my smartphone, tablet or Ipad
2. I feel confident getting rid of any spyware on my smartphone, tablet or Ipad
3. I feel confident setting the security level on the browser when surfing the net on my smartphone, tablet or IPad
4. I feel confident protecting my personal information when connecting to unknown wireless networks";Chen et al. (2015);Self-Efficacy in Information Security
Shahri et al.;2016;NA;"Rhee et al. (2009); Workman et al. (2008); Brady (2010); Mussa (2012); Chan et al. (2005); Taneja (2007)";Self-Efficacy in Information Security
Chen et al.;2015;"Asking respondents to what extent they are confident in 
1. blocking spam or unwanted content
2. adjusting privacy settings
3. managing personal profiles on SNSs";NA;Self-Efficacy in Privacy Management
Clark;2013;"1. I have the necessary knowledge to fulfill the security compliance requirements.
2. I have the necessary skills to fulfill the security compliance requirements.";Bulgurcu et al. (2010);Self-Efficacy of Security Policy
Zhou et al.;2020;"To what extent do you believe you can successfully adopt smartphone security behavior?
1. I have the necessary knowledge and skills to protect my mobile phone. 
2. Adopting smartphone protection is easy for me.
3. I believe I am capable of protecting my phone from hackers. 
4. Adopting smartphone protection is under my control.";"Zhou et al. (2015); Zhou et al. (2016)";Self-Efficacy of Smartphone Security Use
Bulgurcu et al.;2010;"1. I have the necessary skills to fulfill the requirements of the ISP.
2. I have the necessary knowledge to fulfill the requirements of the ISP.
3. I have the necessary competencies to fulfill the requirements of the ISP.";NA;Self-Efficacy to Comply
Devgan;2012;"I have the necessary _ to comply with the requirements of the ISP.
_ = 1. skills; 2. knowledge; 3. competencies";Bulgurcu et al. (2010);Self-Efficacy to Comply
Day;2018;NA;Bulgurcu et al. (2010);Self-Efficacy to Comply with ISPs
Wee et al.;2016;"Rate their confidence in completing tasks:
1. Encrypt data transmissions to conceal confidential information
2. Identify and address information security threats in an organization 
3. Educate clients about computer security threats
4. Erect firewalls to protect against intrusion
5. Remove malware from computer systems
6. Monitor current reports of computer viruses and update virus protection systems
7. Perform reverse engineering 
8. Work with different operating systems
9. Back up data in a computer
10. Spoof MAC addresses
11. Modify user account permissions
12. Decode encrypted data
13. Perform penetration tests to verify network security
14. Counter denial of service attacks.
15. Develop proof of concept exploits of vulnerabilities
16. Install and upgrade network hardware
17. Set up a virtual private network (VPN)
18. Interpret and resolve exploits 
19. Write secure network protocols 
20. Harden network embedded devices";NA;Specific Self-Efficacy in Cybersecurity
Dzidzah et al.;2020;"mastery experience:
1. I am aware of security threats associated with MFSs.
2. I have sufficient knowledge on security threats associated with MFSs.
3. I am confident in the use of security software/techniques to avoid MFSs security threats.
4. I have gained knowledge on MFS security threats through personal experience.
5. I am confident about my security consciousness using MFSs.
6. I really enjoy learning how to use the various technologies required for MFS security.
vicarious experience:
7. I feel comfortable using security software/techniques when using MFSs.
8. I take security precautions because I understand security implications in using MFSs.
9. I do not feel anxious about my security when using MFSs.
10. I have witnessed the effect of security risk from the experience of other individuals using MFSs.
11. I have gained knowledge on security threats from other MFS users.
12. I have personally witnessed the effect of security threats from using MFSs.
emotional state:
13. I have more willpower to protect myself from MFS security threat.
14. I find it extremely unpleasant to get threats on my MFS account.
15. I become frustrated when I experience security threat on my MFS account.
16. I would endure physical discomfort to complete a security task because I just do not like to give up.
verbal persuasion:
17. I discuss security issues with a peer first, to get some feedback.
18. People have advised me on using security software/techniques for MFSs.
19. I am aware of MFS security threats because my friends/family told me about its effect.
20. I am conscious about MFS security threats because my friends advised me to be.";NA;NA
LeFebvre;2012;The field notes from each observation were coded for any evidence of the five PMT factors (risk, vulnerability, self-efficacy, response efficacy, response cost);NA;NA
LeFebvre;2012;Transcripts of the interviews were coded for the five PMT factors, any demographic factors noted, and any other motivational themes that arose;NA;NA
